address	balance	code_hash	data_hash	jetton	last_transaction_lt	owner	owner_friendly	wallet_friendly
0:2B5B00125C8437A50A6C98F93174305D8776B60598808C4C19A3DF47410DB096	277348741679593372	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	fqpt09S5wkjaOt6LccRW7m6Yu7jnzmrKzizHrBW+ZjE=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51921201000001	0:E1E681CFBDF4703EED9B3910460A82C43B859064A2F87E4E430F583275E346F6	EQDh5oHPvfRwPu2bORBGCoLEO4WQZKL4fk5DD1gydeNG9oEH	EQArWwASXIQ3pQpsmPkxdDBdh3a2BZiAjEwZo99HQQ2wlogE
0:62AAB24DCCB572FD342CFDF7A5C7946FEEEDD46F86AEFB6401C23EE078D3BE81	47866849423068871	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	K7aBGd8LDHGUly7/XxB1oq4m8leZq1+dza456WlzkSo=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51282709000001	0:7E13EFCADC4A16B3926915B207243BFA933322A6540A8EC5940BD785191B0B07	UQB-E-_K3EoWs5JpFbIHJDv6kzMiplQKjsWUC9eFGRsLB0y8	EQBiqrJNzLVy_TQs_felx5Rv7u3Ub4au-2QBwj7geNO-gfTs
0:1E06A47CB46B6E22B3B73B4A48B818111AA26E4485E1B20943137D866937D55A	37164843425248074	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	KFWa+VdO2zIrGsT0oI7SAlfNQejcb0wclXgvlFDtFzs=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51774450000003	0:B6FD1B510B36EA60716B0FF074CC2C4112C834A7E46BB4570A7F201E890DFA83	UQC2_RtRCzbqYHFrD_B0zCxBEsg0p-RrtFcKfyAeiQ36g03X	EQAeBqR8tGtuIrO3O0pIuBgRGqJuRIXhsglDE32GaTfVWkbx
0:80CAB8A8A826EC726E8EDA05A5EF12A474200BFE1580DD3509786492EA91EFEF	32770549310413761	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	h35aA3ygjgUChClztEve8IIK96atzN2ZvcpxS12OAzY=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51920876000001	0:CCB3E46DCA18E95D71E17CAE6A42CC3A83EAB1954DEAF22C3CAF7107877A08AB	UQDMs-RtyhjpXXHhfK5qQsw6g-qxlU3q8iw8r3EHh3oIq1VI	EQCAyrioqCbscm6O2gWl7xKkdCAL_hWA3TUJeGSS6pHv77gD
0:26703BFC8CDCDF3320964BF3CDDE16D1F89AB75FA3A677C4E747C579E92B7806	32034642083219094	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	6neeAF+zLC1wUMKswg0sFOX0nYVsTS8ucxsXFvCDfLI=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51792651000003	0:E2A964B29E15F8807A7EC9F1427CA42722BD1E66F120AE1C8C011B44ECB62A5D	UQDiqWSynhX4gHp-yfFCfKQnIr0eZvEgrhyMARtE7LYqXVIZ	EQAmcDv8jNzfMyCWS_PN3hbR-Jq3X6Omd8TnR8V56St4Bkmv
0:049277586F5DBEBA31D6EE3E9C8387A8ABEDA95CAE2B39F4F7BBAEC3390C90B2	30235605936879045	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	sQTivQcconBAAVJEIG5CKeT/0+K76kgiXf8SPachJJA=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51789074000003	0:921D5424C643DC8C89D4FEC238B9AD62A88FB3DBBA68E72B1F26E2C4BC488237	UQCSHVQkxkPcjInU_sI4ua1iqI-z27po5ysfJuLEvEiCN7nh	EQAEkndYb12-ujHW7j6cg4eoq-2pXK4rOfT3u67DOQyQsgvk
0:C71D637FAC33A2FF7D71B2CA42767C0D6BC0965E4F048482EB212854A9952092	20000000043488417	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	BuuccjGUeHODfm1bgNhXb5MYP9YC06K24XRbiXNsokQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51280397000001	0:89971E01195F2E3F216AA7B252C2FFD25C1F8874885C1A4D110A7BEE5F74D266	UQCJlx4BGV8uPyFqp7JSwv_SXB-IdIhcGk0RCnvuX3TSZvfy	EQDHHWN_rDOi_31xsspCdnwNa8CWXk8EhILrIShUqZUgkgHM
0:A64D6FFE85034FCFCB6D745D3392D86329F903B3E8560B29C39606F443C87464	17689592748082388	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	f0hevFaHH0cx137eyvKuiTBObBvzjJdkITR6fb6nlOw=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51774407000001	0:1E949F959F2B05C9312FFB018A85030DAF95FF7DFF719B19CA6F2F56934D129B	UQAelJ-VnysFyTEv-wGKhQMNr5X_ff9xmxnKby9Wk00SmyqE	EQCmTW_-hQNPz8ttdF0zkthjKfkDs-hWCynDlgb0Q8h0ZEir
0:B53E0EF331A7E1FB5F4CB41E080269B7A8B0ACC50FECCB5F9B3743365E89FA6C	15815510246595816	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	0EcN8UvzkMNV2XzpapdDeCtJh+9V9SU+TnUuHqHJA5o=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51428492000001	0:665F56F2123061CD901C709833782839135A9959E23FF06491984BB4E4415608	UQBmX1byEjBhzZAccJgzeCg5E1qZWeI_8GSRmEu05EFWCP0H	EQC1Pg7zMafh-19MtB4IAmm3qLCsxQ_sy1-bN0M2Xon6bImA
0:C7E8F6E670291E1484414F267F439617D00C90E5BF8FD3CA3BF952166E80392C	13242221638666848	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	wYmS47YF2qs8FnkZWPRH0IrsR2fXSeP/tAIhpU3N1Wg=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51910158000001	0:7D14C07885DE4B49A2AFA5E18D7F7C7C4B10ACDC6579B74CCE70BF6D9338CEFA	UQB9FMB4hd5LSaKvpeGNf3x8SxCs3GV5t0zOcL9tkzjO-uti	EQDH6PbmcCkeFIRBTyZ_Q5YX0AyQ5b-P08o7-VIWboA5LMqe
